"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Slc17a9",0.515927626070534,0.24262314407366,0.029,0.025,1
"B4gat1",0.515927626070534,0.24262314407366,0.029,0.025,1
"Ndst2",0.516155301959113,-0.185353410912683,0.043,0.049,1
"Dnai7",0.5161558503303,0.124501851674105,0.027,0.032,1
"Ipo11",0.516226414936915,-0.185353410912682,0.059,0.065,1
"Cdk5rap1",0.516613958058789,0.183587673776707,0.04,0.035,1
"Dolpp1",0.517146616891147,0.395492981336242,0.022,0.018,1
"Nceh1",0.517454240223344,-0.122159584425488,0.081,0.089,1
"Zbtb32",0.517734757657537,0.305235121373338,0.026,0.022,1
"Tmem39b",0.517821696156062,-0.147992883408755,0.084,0.092,1
"Nsfl1c",0.51784462776869,-0.107122894953465,0.198,0.208,1
"Fastkd3",0.518088898145675,0.251777859216778,0.043,0.038,1
"Dnmt3b",0.518174414473347,0.307686600367435,0.018,0.014,1
"Ttyh2",0.518174414473347,0.307686600367435,0.018,0.014,1
"Uqcrh",0.518365662801368,0.130148414815247,0.064,0.057,1
"Gpnmb",0.518956207948473,0.27310636865729,0.043,0.038,1
"Egr2",0.518964562473818,0.141736389090458,0.018,0.014,1
"Magee1",0.519078220252737,-0.231449825502136,0.03,0.035,1
"Tsen2",0.519145390904582,0.336599292282673,0.022,0.018,1
"Nfxl1",0.519293302412093,0.244271624589207,0.06,0.054,1
"Eif1a",0.51959700900246,0.147221928174189,0.182,0.173,1
"Galns",0.519764267350527,0.120870601227237,0.057,0.051,1
"Slc35f2",0.519894489575065,-0.159358202379737,0.032,0.037,1
"Arhgap21",0.520177747776716,0.132616670405997,0.103,0.095,1
"Med19",0.520314064576202,-0.163582788241463,0.059,0.065,1
"Rasgrp4",0.520672971728982,0.28857777741973,0.022,0.018,1
"Ccnf",0.520672971728982,0.28857777741973,0.022,0.018,1
"Hmox1",0.520839666276894,0.31962621367896,0.076,0.069,1
"Spcs2",0.521045841986226,0.11158596378882,0.126,0.117,1
"Tmem62",0.521197428880204,0.174542534173701,0.06,0.054,1
"Gfi1",0.52155404129457,0.213289650115492,0.043,0.038,1
"Cntrob",0.522769840101337,0.189042103868816,0.063,0.057,1
"Pfkfb2",0.522916911391214,0.220750963596154,0.022,0.018,1
"Ndufa11",0.523259041786254,0.10087972564732,0.238,0.229,1
"Tmem35b",0.523564057447925,0.194278752234963,0.043,0.038,1
"Gpd2",0.523858463550436,-0.104316838821776,0.101,0.109,1
"Tstd3",0.52392802259339,0.147221928174188,0.159,0.151,1
"Rexo1",0.524529642387627,0.163831541071535,0.096,0.089,1
"Cep55",0.52456644457432,-0.132885991018547,0.055,0.061,1
"Atg13",0.524758341267159,-0.146825181976421,0.177,0.185,1
"Pigyl",0.525046361797354,-0.208437024025724,0.028,0.033,1
"Hsd17b8",0.525860917128979,-0.130467390215903,0.167,0.176,1
"Chst11",0.526196172531859,-0.10002135711292,0.12,0.128,1
"Adam12",0.526340762263006,-0.313458236660368,0.009,0.011,1
"Ano1",0.526340762263006,-0.313458236660368,0.009,0.011,1
"Senp8",0.526340762263006,-0.313458236660368,0.009,0.011,1
"Gja1",0.526340762263006,-0.313458236660368,0.009,0.011,1
"Map1b",0.526340762263006,-0.313458236660368,0.009,0.011,1
"Amacr",0.526340762263006,-0.313458236660368,0.009,0.011,1
"Btbd8",0.526676403210536,-0.271713695715864,0.06,0.066,1
"Smurf2",0.527040706644111,-0.117619234365236,0.168,0.177,1
"Slx4ip",0.527521693475271,-0.206134973049186,0.06,0.066,1
"Mtg2",0.527538305947602,-0.171775004412142,0.057,0.063,1
"Topbp1",0.527658689312114,0.194918670205485,0.158,0.151,1
"Llph",0.527725289631982,0.310057504830181,0.049,0.044,1
"B4galt4",0.528064367429218,-0.234765605037761,0.037,0.042,1
"Abhd5",0.52809832681364,0.215037312401759,0.049,0.044,1
"Brd3",0.528157118399794,0.115041522425039,0.073,0.066,1
"Zfp740",0.528181697977555,-0.118126833746132,0.221,0.231,1
"Tnfaip1",0.528388304411969,-0.141153607002147,0.109,0.117,1
"Kif15",0.528432566748556,0.235265120629461,0.059,0.053,1
"Rnf123",0.529221817272577,0.139962704642203,0.191,0.183,1
"Manea",0.529480096145773,-0.186657247459528,0.074,0.08,1
"Zbtb16",0.529495323376013,0.926007698035021,0.013,0.01,1
"Dcun1d2",0.529650173723481,-0.273748526858396,0.025,0.029,1
"Acsf3",0.530160045630941,0.33343201320399,0.028,0.024,1
"Igsf9b",0.530263751157604,-0.240945736876,0.051,0.057,1
"Sppl2b",0.530643763748111,-0.119080191493516,0.064,0.07,1
"Ankmy2",0.530761509136926,0.144503707792317,0.093,0.086,1
"Cers5",0.53132148337911,0.145540465232229,0.207,0.199,1
"Paox",0.531415181048548,0.352540836151694,0.013,0.01,1
"Wipi1",0.531415181048548,0.352540836151694,0.013,0.01,1
"Neurl1b",0.531415181048548,0.352540836151694,0.013,0.01,1
"Slc25a23",0.531415181048548,0.352540836151694,0.013,0.01,1
"Oas3",0.53145109754828,-0.126313337095061,0.261,0.269,1
"Asb8",0.532044073560578,-0.121997674875811,0.122,0.13,1
"Zmym5",0.532733324947704,0.121065310052809,0.165,0.156,1
"Mis12",0.532806808788438,-0.223651454941729,0.072,0.078,1
"Cyb5b",0.532929336859509,0.165772324545968,0.143,0.136,1
"Tyms",0.53293344436456,-0.132885991018547,0.083,0.09,1
"Vcl",0.533070441629777,-0.10046451332617,0.078,0.085,1
"Pcgf6",0.533088305070755,-0.101859095397923,0.041,0.047,1
"Zfp952",0.533214510028223,0.125848277381622,0.063,0.057,1
"Dhrs13",0.533590002646952,0.276989803144518,0.028,0.024,1
"Tpx2",0.533832383639709,-0.141709841405553,0.097,0.105,1
"Lss",0.533833752171502,-0.355278412354995,0.011,0.014,1
"Acp2",0.534233328963665,-0.160107459753571,0.067,0.073,1
"Zfp512b",0.534722189559579,0.126500637800103,0.069,0.062,1
"Zfp703",0.534798683152473,-0.140451268138732,0.237,0.245,1
"Hcar2",0.534958563322564,-0.284889084463597,0.011,0.014,1
"Amotl1",0.534958563322564,-0.284889084463597,0.011,0.014,1
"Mettl8",0.534999082348781,-0.34628962912774,0.021,0.024,1
"Ms4a4a",0.535024289736691,0.189042103868815,0.032,0.028,1
"Prdm10",0.535224894003814,0.162569892507624,0.072,0.065,1
"Fkbp1a",0.535645108179595,0.108727748492836,0.29,0.282,1
"LTO1",0.535682241985485,-0.197737135368515,0.053,0.059,1
"Isoc2a",0.536267281596112,-0.21088850301982,0.023,0.027,1
"Asah1",0.536413340867584,-0.137458720808371,0.097,0.105,1
"Chst12",0.536660993050978,-0.112275711343261,0.158,0.147,1
"Rragc",0.537129743438745,-0.184453133166844,0.209,0.216,1
"Pask",0.537253854585463,-0.258416873102406,0.021,0.024,1
"Cnot10",0.537577024170871,0.120059597191663,0.193,0.184,1
