"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tmem176a",0.0802403703545823,-0.863317039603095,0.018,0.031,1
"Fbxo45",0.0802633225670431,-0.457324679927257,0.062,0.084,1
"Asap1",0.0802957240403819,-0.320822680022396,0.078,0.103,1
"Nedd9",0.0803076654796694,0.17583690905123,0.418,0.385,1
"Cep290",0.0803259925966177,0.774000866179198,0.033,0.02,1
"Sytl2",0.0803686648433871,0.22630675052728,0.367,0.331,1
"Dnaja1",0.0805756539603415,-0.209523094563086,0.542,0.572,1
"Kdm6a",0.080696430457945,-0.278647204475982,0.314,0.347,1
"Crem",0.0807744081893853,-0.107585899104019,0.949,0.944,1
"Pvr",0.080843670576241,-0.348877952468948,0.171,0.202,1
"Psmd11",0.08111526613373,-0.19629959898775,0.309,0.351,1
"Klhl11",0.0811314558554986,-0.354231186963154,0.116,0.144,1
"Cops3",0.0811861029805442,-0.228847496129833,0.121,0.151,1
"Pgap2",0.081535423073648,0.450752830631703,0.098,0.075,1
"Agpat4",0.0815486035557628,0.158334618016815,0.213,0.178,1
"Fto",0.0816082706287946,-0.277243063448775,0.118,0.147,1
"Polr1f",0.0816245445155436,-0.125087485700927,0.171,0.207,1
"Esco2",0.0816269643361723,0.588479009685867,0.033,0.02,1
"Pigg",0.0816736536591109,0.658152537492677,0.033,0.02,1
"Chrnb1",0.0816736536591109,0.658152537492677,0.033,0.02,1
"mt-Nd6",0.0816797406951762,0.326357413145979,0.3,0.267,1
"Abcg1",0.0817814975954663,-0.177802151304895,0.098,0.126,1
"Fyn",0.0817923515329468,-0.122784309117769,0.662,0.696,1
"Zfp182",0.0818321635480292,0.327936471279729,0.103,0.079,1
"Rapgef5",0.0818392313502801,0.990134297043964,0.032,0.019,1
"Pcnx3",0.0818539312716191,0.233506455900721,0.198,0.166,1
"Casp2",0.0819103504372016,-0.369097496915523,0.074,0.098,1
"Zfp574",0.0819518021529231,-0.409706659694518,0.098,0.124,1
"N6amt1",0.0819559656888964,0.675941850936206,0.041,0.026,1
"Tpd52l2",0.0819906632625384,-0.203719687013395,0.202,0.239,1
"Slc6a6",0.082018281846009,0.329681596738544,0.197,0.166,1
"Crim1",0.0820306093364566,-0.417431952803745,0.067,0.091,1
"Cib1",0.0820796132774704,-0.264679601984862,0.157,0.189,1
"Enox2",0.0822608332750656,0.447518087032402,0.056,0.039,1
"Tmem170",0.0823068325178818,0.60156900912631,0.033,0.02,1
"Tsg101",0.0824109419627326,-0.214239863437709,0.187,0.221,1
"Pip5k1a",0.0825483094403949,-0.217858745231868,0.105,0.133,1
"Txndc11",0.0826044176759137,-0.224285014391301,0.26,0.297,1
"Gtf3c2",0.0826515257996033,-0.138795161501761,0.259,0.3,1
"Acsf2",0.0826614379286703,-0.565849136705427,0.043,0.061,1
"Mlh1",0.0830499805731202,-0.619596108826135,0.026,0.042,1
"Arid1a",0.083055483850778,0.185936461358565,0.338,0.298,1
"Letmd1",0.083148818759077,-0.391436744270801,0.07,0.093,1
"Osgin2",0.0831785789883558,-0.372712452212316,0.096,0.122,1
"Cdc37",0.0832999117644557,-0.178409473999988,0.457,0.488,1
"Ino80b",0.0833435394068867,-0.365066172075269,0.138,0.167,1
"Rnf44",0.0834025731585163,0.10937561440117,0.477,0.426,1
"Ndufs2",0.083450336486701,-0.106567931980677,0.293,0.339,1
"Cyb5d2",0.0834590189143532,0.588479009685867,0.041,0.026,1
"Col6a1",0.0834680579559413,-0.353488868942718,0.039,0.057,1
"Irf1",0.0834974360434573,0.128765366799624,0.561,0.516,1
"Mbtps1",0.0836369717030132,-0.185384720871572,0.224,0.26,1
"Psph",0.0836800849729535,0.475561124214205,0.122,0.097,1
"Wdr82",0.0838734193403144,0.178582285790048,0.476,0.446,1
"Hsd17b11",0.0840312875184452,-0.276298685251695,0.127,0.156,1
"Ube2l6",0.084037916770449,0.242442296284699,0.343,0.306,1
"Rassf8",0.0840633942272813,-1.12028969264969,0.007,0.016,1
"Cmtr1",0.0841610426543317,0.200219822928798,0.349,0.313,1
"Snx5",0.084161604043689,0.276991335824999,0.296,0.263,1
"Ndufa1",0.0841686078273469,-0.160872539394534,0.406,0.442,1
"Actr1a",0.0841690465363147,-0.174125212066359,0.348,0.386,1
"Afg3l1",0.0841961046380404,0.239397282293044,0.256,0.219,1
"Nubpl",0.0842897865986698,-1.04228718064841,0.007,0.016,1
"H2-Ob",0.0842897865986698,-1.04228718064841,0.007,0.016,1
"Ydjc",0.0843643675947581,0.72709989121017,0.032,0.019,1
"Lix1l",0.0844910310958375,-0.694363877228107,0.017,0.029,1
"Txn2",0.0844911687440037,-0.18169023731383,0.241,0.278,1
"Slc9a1",0.0845435214720951,0.252333568243213,0.193,0.161,1
"Cep57",0.0846355761991145,0.308718147103372,0.175,0.144,1
"Zfp639",0.0846486049973113,-0.225733321744345,0.142,0.173,1
"Epas1",0.0847477203361875,-0.563002757821795,0.113,0.139,1
"Igf1r",0.0847981235788416,-0.47669000479419,0.039,0.057,1
"Septin2",0.0848497548323177,0.132254448864268,0.355,0.311,1
"Sf3a3",0.0848825395426662,0.340678927165818,0.197,0.167,1
"Timeless",0.0849111974426911,0.639972521427658,0.054,0.037,1
"Poc1b",0.0849485091381091,0.449565915681261,0.077,0.057,1
"Errfi1",0.0849667330896563,-0.293825947644379,0.135,0.164,1
"Nup205",0.0849991660150346,-0.274102855871488,0.136,0.166,1
"Map4k3",0.0850307258228963,-0.546961892411934,0.051,0.071,1
"Zmym6",0.0850326908147188,0.729088444303623,0.04,0.025,1
"Zfp948",0.0850340115483644,0.604959598327084,0.077,0.057,1
"Cplane1",0.0850691100290086,-0.378714845230891,0.081,0.106,1
"Pja1",0.0851003143104379,-0.503760252917543,0.128,0.155,1
"Irak1",0.0852024757405234,0.203976644306876,0.341,0.306,1
"Slc22a15",0.0852122884965055,0.341627801134649,0.129,0.103,1
"Rbsn",0.085284381956235,-0.482859772034395,0.074,0.097,1
"Lsm5",0.0852993598643265,-0.357789006376343,0.098,0.124,1
"Pxk",0.0853127515055283,0.239748187115435,0.237,0.204,1
"Ankrd10",0.085348471555721,-0.422973175136481,0.109,0.135,1
"Naa10",0.0853814050119515,-0.384393157473407,0.091,0.116,1
"Clstn1",0.0854510502360376,-0.441894639357652,0.056,0.077,1
"BC031181",0.0857288949263244,-0.156535352098046,0.29,0.33,1
"Soat1",0.0858667818270812,0.2985706427738,0.208,0.177,1
"Gtf3c3",0.0859771516835863,0.305636122771893,0.109,0.084,1
"Myo1f",0.0860252298388228,0.198092019525069,0.289,0.252,1
"Plekhg3",0.086098738505955,-0.56423988384377,0.032,0.048,1
"Rnf14",0.0862009550736687,-0.200984926667472,0.154,0.186,1
"Grik5",0.0862535781353071,-0.41815408264658,0.069,0.092,1
"Lbh",0.0862888825293187,0.120243944720245,0.718,0.687,1
"Cspp1",0.0862977913884517,-0.405609643383102,0.088,0.113,1
"Safb2",0.0864053326170487,-0.17184681441733,0.32,0.361,1
"Rpgrip1l",0.0865097349356849,0.864603414960104,0.03,0.018,1
"Trir",0.0866040411799153,-0.117107665782455,0.542,0.599,1
"Dot1l",0.0869445989607591,-0.12153393165815,0.341,0.382,1
"Snrpa1",0.0870114375114544,-0.274202376103369,0.186,0.218,1
"Prkcz",0.0871547385813395,-0.805247983347565,0.014,0.025,1
"Fbxo17",0.0871547385813395,-0.805247983347565,0.014,0.025,1
"Polq",0.0871547385813395,-0.805247983347565,0.014,0.025,1
"Ccr6",0.0871772304945976,-0.348511192788333,0.065,0.087,1
"Spast",0.0874299726025125,-0.377597487456524,0.116,0.143,1
"Txnl1",0.087511657175236,-0.230766229011257,0.326,0.36,1
"Hpf1",0.0875474526555861,-0.241595988871821,0.217,0.252,1
"Cln3",0.087698422186958,0.213367694819782,0.151,0.122,1
"Itga1",0.0878380415289978,-0.890284087203365,0.012,0.024,1
"Pofut1",0.0879183297512989,0.401121175858723,0.114,0.09,1
"Sigmar1",0.0879469315920667,-0.559686397556936,0.045,0.064,1
"Fkbp2",0.0880054533447943,0.25747525843648,0.202,0.17,1
"Trmt61a",0.0883345979808978,-0.916756298564555,0.01,0.02,1
"Serf1",0.0883345979808978,-0.916756298564555,0.01,0.02,1
"Rmnd1",0.0883353887934575,0.325083885000115,0.055,0.038,1
"Gpatch2l",0.0883636566009184,-0.176142927383204,0.113,0.142,1
"Taco1",0.0883721428878736,0.581149467887378,0.047,0.031,1
"Vps72",0.0885316456809317,0.239483787766965,0.154,0.126,1
"Acsl1",0.0886441447227173,-0.872362179206102,0.011,0.022,1
"Nrde2",0.0888506431170606,0.38441323615601,0.087,0.065,1
"Ptpn12",0.0889476933680875,-0.424658491006936,0.088,0.112,1
"Polr3h",0.0890431865493058,-0.66882878512097,0.023,0.038,1
"Eif4a1",0.0891223638107113,-0.23493225859081,0.326,0.359,1
"Unc119",0.0892567392615178,0.236467683307146,0.232,0.198,1
"Pold4",0.0892928460957319,-0.242311788956407,0.154,0.186,1
"Maml1",0.0900637736022199,-0.204881685361179,0.22,0.256,1
"Cgrrf1",0.0901010972573578,-0.400741151560891,0.063,0.085,1
"Lrrc8c",0.0901387644899191,0.173359722655597,0.48,0.446,1
"Nol11",0.0902883796055826,0.329079846973453,0.12,0.094,1
"Cirbp",0.0904311654723775,-0.147469417340471,0.349,0.395,1
"Cd101",0.0905948781617103,0.375703636019777,0.172,0.144,1
"Rad18",0.0908673038802778,-0.206139991971208,0.117,0.145,1
"Ttpal",0.0910867904498085,0.251626538069352,0.201,0.17,1
"Esyt2",0.0911180589296145,-0.125404813382734,0.527,0.574,1
"Sdhaf4",0.0913668105686235,0.447097660090511,0.089,0.068,1
"Nlgn2",0.091385958910755,0.447518087032402,0.054,0.037,1
"Setd4",0.0913862517104801,0.754179425266454,0.029,0.017,1
"mt-Nd5",0.0914913799007897,0.344174348388054,0.349,0.315,1
"Lat",0.0916696337599681,-0.120679831660932,0.631,0.668,1
"Manba",0.0918035701619759,0.456945446046858,0.065,0.046,1
"Ift74",0.0918224063389224,0.620677832074015,0.045,0.03,1
"Brat1",0.0918868628906998,-0.457324679927258,0.03,0.046,1
"Ankle2",0.0919568285751069,-0.308932840034587,0.168,0.197,1
"Zfp40",0.0920211389438201,0.542675320072742,0.052,0.036,1
"Jpt2",0.0920530696453916,0.296918905670784,0.088,0.066,1
"Usp47",0.0921656759785883,-0.252372706533249,0.224,0.259,1
"Kri1",0.0923626570662456,0.295294178550434,0.161,0.132,1
"Gigyf1",0.0924399536470701,-0.338680183428639,0.139,0.167,1
"Racgap1",0.0925143531067054,0.507051410342021,0.121,0.097,1
"Imp3",0.0925708721002502,-0.346293367538514,0.067,0.09,1
"Enkd1",0.0926767146515371,0.583317304570087,0.045,0.03,1
"Sorbs1",0.0928029896387429,0.424838829778884,0.059,0.042,1
"Rras",0.0929127287240257,0.427198102652806,0.089,0.068,1
"Plcg1",0.0929858665978636,-0.142689077606252,0.365,0.405,1
"Cct7",0.0930674272357211,-0.183823275042395,0.289,0.325,1
"Smc1a",0.0930818355704743,-0.194290274093464,0.27,0.307,1
"Sipa1l2",0.0931270770827513,-0.43870900175991,0.045,0.064,1
"Erc1",0.0931461777700161,0.267440460633421,0.193,0.161,1
"Frg1",0.093164676754552,-0.218421936566362,0.29,0.326,1
"Eif3d",0.0932644721707135,-0.117909158311054,0.399,0.446,1
"Serp1",0.0933240377981817,-0.196199864102096,0.18,0.213,1
"Pdk3",0.0933943236390843,-0.257715654235098,0.109,0.136,1
